ID,Company Name,YearEstablished,Label_Title,Address Line 1,City,State,Postcode,Country,Address_1Line,GeocodeStatus,Confidence,MatchedAddress,Provider,Timestamp,AddrForQuery,Latitude,Longitude,geo.Confidence,geo.MatchedAddress,geo.GeocodeStatus,geo.Provider,geo.Timestamp
JC0011,ADDICTRAP SDN. BHD.,2023,ADDICTRAP SDN. BHD. (est. 2023),"D4-U3A-07 & D4-U3A-08, BLOCK D4, NO. 1, JALAN DUTAMAS, SOLARIS DUTAMAS",KUALA LUMPUR,KUALA LUMPUR,50480,MALAYSIA,"ADDICTRAP SDN. BHD., D4-U3A-07 & D4-U3A-08, BLOCK D4, NO. 1, JALAN DUTAMAS, SOLARIS DUTAMAS, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",,,,,,"ADDICTRAP SDN. BHD., D4-U3A-07 & D4-U3A-08, BLOCK D4, NO. 1, JALAN DUTAMAS, SOLARIS DUTAMAS, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",3.163,101.6753,7,"50480, Malaysia",OK,OpenCage,45945.04176
JC0012,ADVANTEST (M) SDN. BHD.,,ADVANTEST (M) SDN. BHD.,"PLOT 5, TECHNOPLEX, MEDAN BAYAN LEPAS, BAYAN LEPAS INDUSTRIAL PARK, PHASE IV",BAYAN LEPAS,PULAU PINANG,11900,MALAYSIA,"ADVANTEST (M) SDN. BHD., PLOT 5, TECHNOPLEX, MEDAN BAYAN LEPAS, BAYAN LEPAS INDUSTRIAL PARK, PHASE IV, BAYAN LEPAS, PULAU PINANG, 11900, MALAYSIA",,,,,,"ADVANTEST (M) SDN. BHD., PLOT 5, TECHNOPLEX, MEDAN BAYAN LEPAS, BAYAN LEPAS INDUSTRIAL PARK, PHASE IV, BAYAN LEPAS, PULAU PINANG, 11900, MALAYSIA",5.29992,100.26052,6,"Bayan Lepas, Penang, Malaysia",OK,OpenCage,45945.0418
JC0013,ADVERTRAX SDN. BHD.,2013,ADVERTRAX SDN. BHD. (est. 2013),"UNIT BO1-D-8-1, MENARA 2, BOUTIQUE OFFICE 1 (PILLAR 11), KL ECO CITY, NO. 3, JALAN BANGSAR",KUALA LUMPUR,KUALA LUMPUR,59200,MALAYSIA,"ADVERTRAX SDN. BHD., UNIT BO1-D-8-1, MENARA 2, BOUTIQUE OFFICE 1 (PILLAR 11), KL ECO CITY, NO. 3, JALAN BANGSAR, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,,"ADVERTRAX SDN. BHD., UNIT BO1-D-8-1, MENARA 2, BOUTIQUE OFFICE 1 (PILLAR 11), KL ECO CITY, NO. 3, JALAN BANGSAR, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,OK,OpenCage,45945.04184
JC0014,AEON BIG (M) SDN. BHD.,,AEON BIG (M) SDN. BHD.,"3RD FLOOR, AEON TAMAN MALURI SHOPPING CENTRE, JALAN JEJAKA, TAMAN MALURI, CHERAS",KUALA LUMPUR,KUALA LUMPUR,55100,MALAYSIA,"AEON BIG (M) SDN. BHD., 3RD FLOOR, AEON TAMAN MALURI SHOPPING CENTRE, JALAN JEJAKA, TAMAN MALURI, CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",,,,,,"AEON BIG (M) SDN. BHD., 3RD FLOOR, AEON TAMAN MALURI SHOPPING CENTRE, JALAN JEJAKA, TAMAN MALURI, CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",,,,,OK,OpenCage,45945.04187
JC0015,AEON CO. (M) BHD,,AEON CO. (M) BHD,"JALAN JEJAKA, TAMAN MALURI CHERAS",KUALA LUMPUR,KUALA LUMPUR,55100,MALAYSIA,"AEON CO. (M) BHD, JALAN JEJAKA, TAMAN MALURI CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",,,,,,"AEON CO. (M) BHD, JALAN JEJAKA, TAMAN MALURI CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",3.1366,101.7172,7,"55100, Malaysia",OK,OpenCage,45945.0419
JC0016,AEON CREDIT SERVICE (M) BERHAD,,AEON CREDIT SERVICE (M) BERHAD,"BANGSAR SOUTH CITY, LEVEL 18 UOA CORPORATE TOWER, AVENUE 10, 8, JALAN KERINCHI, THE VERTICAL",KUALA LUMPUR,KUALA LUMPUR,59200,MALAYSIA,"AEON CREDIT SERVICE (M) BERHAD, BANGSAR SOUTH CITY, LEVEL 18 UOA CORPORATE TOWER, AVENUE 10, 8, JALAN KERINCHI, THE VERTICAL, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,,"AEON CREDIT SERVICE (M) BERHAD, BANGSAR SOUTH CITY, LEVEL 18 UOA CORPORATE TOWER, AVENUE 10, 8, JALAN KERINCHI, THE VERTICAL, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",3.1185,101.6757,7,"59200, Malaysia",OK,OpenCage,45945.04196
JC0017,AEON DELIGHT (MALAYSIA) SDN. BHD.,,AEON DELIGHT (MALAYSIA) SDN. BHD.,"3RD FLOOR, NO. 5 WISMA MALURI, JALAN JEJAKA, TAMAN MALURI, CHERAS",KUALA LUMPUR,KUALA LUMPUR,55100,MALAYSIA,"AEON DELIGHT (MALAYSIA) SDN. BHD., 3RD FLOOR, NO. 5 WISMA MALURI, JALAN JEJAKA, TAMAN MALURI, CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",,,,,,"AEON DELIGHT (MALAYSIA) SDN. BHD., 3RD FLOOR, NO. 5 WISMA MALURI, JALAN JEJAKA, TAMAN MALURI, CHERAS, KUALA LUMPUR, KUALA LUMPUR, 55100, MALAYSIA",,,,,OK,OpenCage,45945.04199
JC0018,AERO APRIL SDN. BHD.,2018,AERO APRIL SDN. BHD. (est. 2018),"21-03 MENARA M101 DANG WANGI, NO.3 JALAN KAMUNTING",KUALA LUMPUR,KUALA LUMPUR,50300,MALAYSIA,"AERO APRIL SDN. BHD., 21-03 MENARA M101 DANG WANGI, NO.3 JALAN KAMUNTING, KUALA LUMPUR, KUALA LUMPUR, 50300, MALAYSIA",,,,,,"AERO APRIL SDN. BHD., 21-03 MENARA M101 DANG WANGI, NO.3 JALAN KAMUNTING, KUALA LUMPUR, KUALA LUMPUR, 50300, MALAYSIA",,,,,OK,OpenCage,45945.04202
JC0019,AGENSI PEKERJAAN ASIA RECRUIT SDN. BHD.,,AGENSI PEKERJAAN ASIA RECRUIT SDN. BHD.,"UNIT NO. 7-03-A, LEVEL 3, MENARA JEBSEN & JESSEN (TOWER 7), UOA BUSINESS PARK SHAH ALAM, NO.1, JALAN PENGATURCARA U1/51A, SEKSYEN U1",SHAH ALAM,SELANGOR,40150,MALAYSIA,"AGENSI PEKERJAAN ASIA RECRUIT SDN. BHD., UNIT NO. 7-03-A, LEVEL 3, MENARA JEBSEN & JESSEN (TOWER 7), UOA BUSINESS PARK SHAH ALAM, NO.1, JALAN PENGATURCARA U1/51A, SEKSYEN U1, SHAH ALAM, SELANGOR, 40150, MALAYSIA",,,,,,"AGENSI PEKERJAAN ASIA RECRUIT SDN. BHD., UNIT NO. 7-03-A, LEVEL 3, MENARA JEBSEN & JESSEN (TOWER 7), UOA BUSINESS PARK SHAH ALAM, NO.1, JALAN PENGATURCARA U1/51A, SEKSYEN U1, SHAH ALAM, SELANGOR, 40150, MALAYSIA",,,,,OK,OpenCage,45945.04206
JC0020,AGENSI PEKERJAAN CAREER MEDI (M) SDN. BHD.,,AGENSI PEKERJAAN CAREER MEDI (M) SDN. BHD.,"NO. 6-3, JALAN PJU 5/11, DATARAN SUNWAY, KOTA DAMANSARA",PETALING JAYA,SELANGOR,47810,MALAYSIA,"AGENSI PEKERJAAN CAREER MEDI (M) SDN. BHD., NO. 6-3, JALAN PJU 5/11, DATARAN SUNWAY, KOTA DAMANSARA, PETALING JAYA, SELANGOR, 47810, MALAYSIA",,,,,,"AGENSI PEKERJAAN CAREER MEDI (M) SDN. BHD., NO. 6-3, JALAN PJU 5/11, DATARAN SUNWAY, KOTA DAMANSARA, PETALING JAYA, SELANGOR, 47810, MALAYSIA",3.144,101.5875,7,"47810, Malaysia",OK,OpenCage,45945.04211
JC0021,AGENSI PEKERJAAN CS MALAYSIA SDN. BHD.,,AGENSI PEKERJAAN CS MALAYSIA SDN. BHD.,"E-13A-08, BANGSAR TRADE CENTRE, JALAN PANTAI BAHARU",KUALA LUMPUR,KUALA LUMPUR,59200,MALAYSIA,"AGENSI PEKERJAAN CS MALAYSIA SDN. BHD., E-13A-08, BANGSAR TRADE CENTRE, JALAN PANTAI BAHARU, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,,"AGENSI PEKERJAAN CS MALAYSIA SDN. BHD., E-13A-08, BANGSAR TRADE CENTRE, JALAN PANTAI BAHARU, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",3.1185,101.6757,7,"59200, Malaysia",OK,OpenCage,45945.04214
JC0022,AGENSI PEKERJAAN I-STAFF SDN. BHD.,2008,AGENSI PEKERJAAN I-STAFF SDN. BHD. (est. 2008),"D-12-03, MENARA SUEZCAP 1, KL GATEWAY OFFICE 2, KL GATEWAY MALL KUALA LUMPUR, JALAN KERINCHI",KUALA LUMPUR,KUALA LUMPUR,59200,MALAYSIA,"AGENSI PEKERJAAN I-STAFF SDN. BHD., D-12-03, MENARA SUEZCAP 1, KL GATEWAY OFFICE 2, KL GATEWAY MALL KUALA LUMPUR, JALAN KERINCHI, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,,"AGENSI PEKERJAAN I-STAFF SDN. BHD., D-12-03, MENARA SUEZCAP 1, KL GATEWAY OFFICE 2, KL GATEWAY MALL KUALA LUMPUR, JALAN KERINCHI, KUALA LUMPUR, KUALA LUMPUR, 59200, MALAYSIA",,,,,OK,OpenCage,45945.04216
JC0023,AGENSI PEKERJAAN JOINTHIRE SDN. BHD.,2024,AGENSI PEKERJAAN JOINTHIRE SDN. BHD. (est. 2024),"13TH FLOOR, TOWER 4, PFCC, JALAN PUTERI 1/2, BANDAR PUTERI",PUCHONG,SELANGOR,47100,MALAYSIA,"AGENSI PEKERJAAN JOINTHIRE SDN. BHD., 13TH FLOOR, TOWER 4, PFCC, JALAN PUTERI 1/2, BANDAR PUTERI, PUCHONG, SELANGOR, 47100, MALAYSIA",,,,,,"AGENSI PEKERJAAN JOINTHIRE SDN. BHD., 13TH FLOOR, TOWER 4, PFCC, JALAN PUTERI 1/2, BANDAR PUTERI, PUCHONG, SELANGOR, 47100, MALAYSIA",,,,,OK,OpenCage,45945.04219
JC0024,AGENSI PEKERJAAN SHINRAI SDN. BHD.,,AGENSI PEKERJAAN SHINRAI SDN. BHD.,"F-2-6, M AVENUE, 1, JALAN 1/38A, SEGAMBUT BAHAGIA",KUALA LUMPUR,KUALA LUMPUR,51200,MALAYSIA,"AGENSI PEKERJAAN SHINRAI SDN. BHD., F-2-6, M AVENUE, 1, JALAN 1/38A, SEGAMBUT BAHAGIA, KUALA LUMPUR, KUALA LUMPUR, 51200, MALAYSIA",,,,,,"AGENSI PEKERJAAN SHINRAI SDN. BHD., F-2-6, M AVENUE, 1, JALAN 1/38A, SEGAMBUT BAHAGIA, KUALA LUMPUR, KUALA LUMPUR, 51200, MALAYSIA",3.1876,101.672,7,"51200, Malaysia",OK,OpenCage,45945.04223
JC0025,AGENSI PEKERJAAN SRM SDN. BHD.,,AGENSI PEKERJAAN SRM SDN. BHD.,"A-26-13A, MENARA UOA BANGSAR, NO. 5, JALAN BANGSAR UTAMA 1",KUALA LUMPUR,KUALA LUMPUR,59000,MALAYSIA,"AGENSI PEKERJAAN SRM SDN. BHD., A-26-13A, MENARA UOA BANGSAR, NO. 5, JALAN BANGSAR UTAMA 1, KUALA LUMPUR, KUALA LUMPUR, 59000, MALAYSIA",,,,,,"AGENSI PEKERJAAN SRM SDN. BHD., A-26-13A, MENARA UOA BANGSAR, NO. 5, JALAN BANGSAR UTAMA 1, KUALA LUMPUR, KUALA LUMPUR, 59000, MALAYSIA",3.1328,101.6783,7,"59000, Malaysia",OK,OpenCage,45945.04226
JC0026,AGILITY OCEAN SDN. BHD.,2022,AGILITY OCEAN SDN. BHD. (est. 2022),"A2-17-3A, ARCORIS SOHO MONT KIARA, MONT' KIARA",KUALA LUMPUR,KUALA LUMPUR,50480,MALAYSIA,"AGILITY OCEAN SDN. BHD., A2-17-3A, ARCORIS SOHO MONT KIARA, MONT' KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",,,,,,"AGILITY OCEAN SDN. BHD., A2-17-3A, ARCORIS SOHO MONT KIARA, MONT' KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",3.163,101.6753,7,"50480, Malaysia",OK,OpenCage,45945.04229
JC0027,AGRICULTURAL CHEMICALS (M) SDN. BHD.,,AGRICULTURAL CHEMICALS (M) SDN. BHD.,"962, LRG. PERUSAHAAN 8, TAMAN PERINDUSTRIAN PERAI",PERAI,PULAU PINANG,13600,MALAYSIA,"AGRICULTURAL CHEMICALS (M) SDN. BHD., 962, LRG. PERUSAHAAN 8, TAMAN PERINDUSTRIAN PERAI, PERAI, PULAU PINANG, 13600, MALAYSIA",,,,,,"AGRICULTURAL CHEMICALS (M) SDN. BHD., 962, LRG. PERUSAHAAN 8, TAMAN PERINDUSTRIAN PERAI, PERAI, PULAU PINANG, 13600, MALAYSIA",5.3769,100.3848,7,"13600, Malaysia",OK,OpenCage,45945.04231
JC0028,AI KNOWLEDGE FACTORY SDN. BHD.,,AI KNOWLEDGE FACTORY SDN. BHD.,"19, LORONG MENGKUDU SATU, OFF JALAN AMPANG",KUALA LUMPUR,KUALA LUMPUR,55000,MALAYSIA,"AI KNOWLEDGE FACTORY SDN. BHD., 19, LORONG MENGKUDU SATU, OFF JALAN AMPANG, KUALA LUMPUR, KUALA LUMPUR, 55000, MALAYSIA",,,,,,"AI KNOWLEDGE FACTORY SDN. BHD., 19, LORONG MENGKUDU SATU, OFF JALAN AMPANG, KUALA LUMPUR, KUALA LUMPUR, 55000, MALAYSIA",,,,,OK,OpenCage,45945.04234
JC0029,AICELLO MALAYSIA SDN. BHD.,,AICELLO MALAYSIA SDN. BHD.,"LOT12, JALAN HI-TECH 13, ZON INDUSTRI FASA 3, KULIM HI-TECH PARK",KULIM,KEDAH,09090,MALAYSIA,"AICELLO MALAYSIA SDN. BHD., LOT12, JALAN HI-TECH 13, ZON INDUSTRI FASA 3, KULIM HI-TECH PARK, KULIM, KEDAH, 09090, MALAYSIA",,,,,,"AICELLO MALAYSIA SDN. BHD., LOT12, JALAN HI-TECH 13, ZON INDUSTRI FASA 3, KULIM HI-TECH PARK, KULIM, KEDAH, 09090, MALAYSIA",,,,,OK,OpenCage,45945.04236
JC0030,AISHITOTO (MALAYSIA) SDN. BHD.,,AISHITOTO (MALAYSIA) SDN. BHD.,"A-9-1, BLOCK A, JAYA ONE, 72A JALAN UNIVERSITI",PETALING JAYA,SELANGOR,46200,MALAYSIA,"AISHITOTO (MALAYSIA) SDN. BHD., A-9-1, BLOCK A, JAYA ONE, 72A JALAN UNIVERSITI, PETALING JAYA, SELANGOR, 46200, MALAYSIA",,,,,,"AISHITOTO (MALAYSIA) SDN. BHD., A-9-1, BLOCK A, JAYA ONE, 72A JALAN UNIVERSITI, PETALING JAYA, SELANGOR, 46200, MALAYSIA",,,,,OK,OpenCage,45945.04238
JC0031,AJINOMOTO (MALAYSIA) BERHAD,,AJINOMOTO (MALAYSIA) BERHAD,"LOT L1-E-5A AND L1-E-5B, ENTERPRISE 4, TECHNOLOGY PARK MALAYSIA, LEBUHRAYA PUCHONG- SG. BESI, BUKIT JALIL",KUALA LUMPUR,KUALA LUMPUR,57000,MALAYSIA,"AJINOMOTO (MALAYSIA) BERHAD, LOT L1-E-5A AND L1-E-5B, ENTERPRISE 4, TECHNOLOGY PARK MALAYSIA, LEBUHRAYA PUCHONG- SG. BESI, BUKIT JALIL, KUALA LUMPUR, KUALA LUMPUR, 57000, MALAYSIA",,,,,,"AJINOMOTO (MALAYSIA) BERHAD, LOT L1-E-5A AND L1-E-5B, ENTERPRISE 4, TECHNOLOGY PARK MALAYSIA, LEBUHRAYA PUCHONG- SG. BESI, BUKIT JALIL, KUALA LUMPUR, KUALA LUMPUR, 57000, MALAYSIA",3.1013,101.6915,7,"57000, Malaysia",OK,OpenCage,45945.0424
JC0032,AK ANODIZING TECHNOLOGY  SDN. BHD.,,AK ANODIZING TECHNOLOGY  SDN. BHD.,"LOT 3377, JALAN PERUSAHAAN UTAMA, TAMAN INDUSTRI SELESA JAYA, BALAKONG",SERI KEMBANGAN,SELANGOR,43300,MALAYSIA,"AK ANODIZING TECHNOLOGY  SDN. BHD., LOT 3377, JALAN PERUSAHAAN UTAMA, TAMAN INDUSTRI SELESA JAYA, BALAKONG, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",,,,,,"AK ANODIZING TECHNOLOGY  SDN. BHD., LOT 3377, JALAN PERUSAHAAN UTAMA, TAMAN INDUSTRI SELESA JAYA, BALAKONG, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",3.0383,101.7094,7,"43300, Malaysia",OK,OpenCage,45945.04244
JC0033,AKASHI RUBBER (M) SDN. BHD.,,AKASHI RUBBER (M) SDN. BHD.,"NO. 20, JALAN SUNGAI BATU 8/KU6, KAWASAN PERINDUSTRIAN KLANG UTAMA",KLANG,SELANGOR,42100,MALAYSIA,"AKASHI RUBBER (M) SDN. BHD., NO. 20, JALAN SUNGAI BATU 8/KU6, KAWASAN PERINDUSTRIAN KLANG UTAMA, KLANG, SELANGOR, 42100, MALAYSIA",,,,,,"AKASHI RUBBER (M) SDN. BHD., NO. 20, JALAN SUNGAI BATU 8/KU6, KAWASAN PERINDUSTRIAN KLANG UTAMA, KLANG, SELANGOR, 42100, MALAYSIA",,,,,OK,OpenCage,45945.04247
JC0034,AKNC MACHINE WORKS SDN. BHD.,,AKNC MACHINE WORKS SDN. BHD.,"94, JALAN ENGGANG, KAWASAN PERUSAHAAN SUNGAI TUKANG",SUNGAI PETANI,KEDAH,08000,MALAYSIA,"AKNC MACHINE WORKS SDN. BHD., 94, JALAN ENGGANG, KAWASAN PERUSAHAAN SUNGAI TUKANG, SUNGAI PETANI, KEDAH, 08000, MALAYSIA",,,,,,"AKNC MACHINE WORKS SDN. BHD., 94, JALAN ENGGANG, KAWASAN PERUSAHAAN SUNGAI TUKANG, SUNGAI PETANI, KEDAH, 08000, MALAYSIA",5.6639,100.4902,7,"08000, Malaysia",OK,OpenCage,45945.04249
JC0035,AKOMORI SDN. BHD.,,AKOMORI SDN. BHD.,"SUITE B-3A-08, PLAZA MONT KIARA, NO. 2, JALAN 1/70C, BUKIT KIARA",KUALA LUMPUR,KUALA LUMPUR,50480,MALAYSIA,"AKOMORI SDN. BHD., SUITE B-3A-08, PLAZA MONT KIARA, NO. 2, JALAN 1/70C, BUKIT KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",,,,,,"AKOMORI SDN. BHD., SUITE B-3A-08, PLAZA MONT KIARA, NO. 2, JALAN 1/70C, BUKIT KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",,,,,OK,OpenCage,45945.04251
